"","date","steps","dayName","year","weekend"
"1",2012-04-24,"8337","Tuesday",2012,FALSE
"2",2012-04-25,"10251","Wednesday",2012,FALSE
"3",2012-04-26,"11885","Thursday",2012,FALSE
"4",2012-04-27,"6099","Friday",2012,FALSE
"5",2012-04-28,"5384","Saturday",2012,TRUE
"6",2012-04-29,"3478","Sunday",2012,TRUE
"7",2012-04-30,"10904","Monday",2012,FALSE
"8",2012-05-01,"7429","Tuesday",2012,FALSE
"9",2012-05-02,"10779","Wednesday",2012,FALSE
"10",2012-05-03,"5860","Thursday",2012,FALSE
"11",2012-05-04,"7428","Friday",2012,FALSE
"12",2012-05-05,"3713","Saturday",2012,TRUE
"13",2012-05-06,"6193","Sunday",2012,TRUE
"14",2012-05-07,"11287","Monday",2012,FALSE
"15",2012-05-08,"9566","Tuesday",2012,FALSE
"16",2012-05-09,"9314","Wednesday",2012,FALSE
"17",2012-05-10,"11960","Thursday",2012,FALSE
"18",2012-05-11,"9870","Friday",2012,FALSE
"19",2012-05-12,"3426","Saturday",2012,TRUE
"20",2012-05-13,"5427","Sunday",2012,TRUE
"21",2012-05-14,"10867","Monday",2012,FALSE
"22",2012-05-15,"5979","Tuesday",2012,FALSE
"23",2012-05-16,"8344","Wednesday",2012,FALSE
"24",2012-05-17,"6853","Thursday",2012,FALSE
"25",2012-05-18,"5733","Friday",2012,FALSE
"26",2012-05-19,"5408","Saturday",2012,TRUE
"27",2012-05-20,"3702","Sunday",2012,TRUE
"28",2012-05-21,"4319","Monday",2012,FALSE
"29",2012-05-22,"6397","Tuesday",2012,FALSE
"30",2012-05-23,"4928","Wednesday",2012,FALSE
"31",2012-05-24,"4090","Thursday",2012,FALSE
"32",2012-05-25,"5387","Friday",2012,FALSE
"33",2012-05-26,"4590","Saturday",2012,TRUE
"34",2012-05-27,"6606","Sunday",2012,TRUE
"35",2012-05-28,"9065","Monday",2012,FALSE
"36",2012-05-29,"4644","Tuesday",2012,FALSE
"37",2012-05-30,"5328","Wednesday",2012,FALSE
"38",2012-05-31,"6461","Thursday",2012,FALSE
"39",2012-06-01,"6807","Friday",2012,FALSE
"40",2012-06-02,"6137","Saturday",2012,TRUE
"41",2012-06-03,"5312","Sunday",2012,TRUE
"42",2012-06-04,"6180","Monday",2012,FALSE
"43",2012-06-05,"5482","Tuesday",2012,FALSE
"44",2012-06-06,"5513","Wednesday",2012,FALSE
"45",2012-06-07,"6255","Thursday",2012,FALSE
"46",2012-06-08,"3928","Friday",2012,FALSE
"47",2012-06-09,"13318","Saturday",2012,TRUE
"48",2012-06-10,"5356","Sunday",2012,TRUE
"49",2012-06-11,"10012","Monday",2012,FALSE
"50",2012-06-12,"4372","Tuesday",2012,FALSE
"51",2012-06-13,"12675","Wednesday",2012,FALSE
"52",2012-06-14,"6016","Thursday",2012,FALSE
"53",2012-06-15,"4613","Friday",2012,FALSE
"54",2012-06-16,"8211","Saturday",2012,TRUE
"55",2012-06-17,"3585","Sunday",2012,TRUE
"56",2012-06-18,"10898","Monday",2012,FALSE
"57",2012-06-19,"11671","Tuesday",2012,FALSE
"58",2012-06-20,"11177","Wednesday",2012,FALSE
"59",2012-06-21,"6655","Thursday",2012,FALSE
"60",2012-06-22,"6928","Friday",2012,FALSE
"61",2012-06-23,"7048","Saturday",2012,TRUE
"62",2012-06-24,"6287","Sunday",2012,TRUE
"63",2012-06-25,"8535","Monday",2012,FALSE
"64",2012-06-26,"10386","Tuesday",2012,FALSE
"65",2012-06-27,"7070","Wednesday",2012,FALSE
"66",2012-06-28,"10832","Thursday",2012,FALSE
"67",2012-06-29,"5676","Friday",2012,FALSE
"68",2012-06-30,"6268","Saturday",2012,TRUE
"69",2012-07-01,"1384","Sunday",2012,TRUE
"70",2012-07-02,"8457","Monday",2012,FALSE
"71",2012-07-03,"6224","Tuesday",2012,FALSE
"72",2012-07-04,"10674","Wednesday",2012,FALSE
"73",2012-07-05,"4377","Thursday",2012,FALSE
"74",2012-07-06,"7606","Friday",2012,FALSE
"75",2012-07-07,"7212","Saturday",2012,TRUE
"76",2012-07-08,"6243","Sunday",2012,TRUE
"77",2012-07-09,"10658","Monday",2012,FALSE
"78",2012-07-10,"7318","Tuesday",2012,FALSE
"79",2012-07-11,"8948","Wednesday",2012,FALSE
"80",2012-07-12,"5498","Thursday",2012,FALSE
"81",2012-07-13,"4365","Friday",2012,FALSE
"82",2012-07-14,"8827","Saturday",2012,TRUE
"83",2012-07-15,"3414","Sunday",2012,TRUE
"84",2012-07-16,"0","Monday",2012,FALSE
"85",2012-07-17,"10864","Tuesday",2012,FALSE
"86",2012-07-18,"9142","Wednesday",2012,FALSE
"87",2012-07-19,"4857","Thursday",2012,FALSE
"88",2012-07-20,"6793","Friday",2012,FALSE
"89",2012-07-21,"7194","Saturday",2012,TRUE
"90",2012-07-22,"5850","Sunday",2012,TRUE
"91",2012-07-23,"8684","Monday",2012,FALSE
"92",2012-07-24,"8316","Tuesday",2012,FALSE
"93",2012-07-25,"9143","Wednesday",2012,FALSE
"94",2012-07-26,"5045","Thursday",2012,FALSE
"95",2012-07-27,"9748","Friday",2012,FALSE
"96",2012-07-28,"1305","Saturday",2012,TRUE
"97",2012-07-29,"8568","Sunday",2012,TRUE
"98",2012-07-30,"6251","Monday",2012,FALSE
"99",2012-07-31,"7445","Tuesday",2012,FALSE
"100",2012-08-01,"8578","Wednesday",2012,FALSE
"101",2012-08-02,"5726","Thursday",2012,FALSE
"102",2012-08-03,"5098","Friday",2012,FALSE
"103",2012-08-04,"8360","Saturday",2012,TRUE
"104",2012-08-05,"5789","Sunday",2012,TRUE
"105",2012-08-06,"8810","Monday",2012,FALSE
"106",2012-08-07,"8819","Tuesday",2012,FALSE
"107",2012-08-08,"8355","Wednesday",2012,FALSE
"108",2012-08-09,"7454","Thursday",2012,FALSE
"109",2012-08-10,"4774","Friday",2012,FALSE
"110",2012-08-11,"6951","Saturday",2012,TRUE
"111",2012-08-12,"7132","Sunday",2012,TRUE
"112",2012-08-13,"8290","Monday",2012,FALSE
"113",2012-08-14,"6425","Tuesday",2012,FALSE
"114",2012-08-15,"7276","Wednesday",2012,FALSE
"115",2012-08-16,"8909","Thursday",2012,FALSE
"116",2012-08-17,"2684","Friday",2012,FALSE
"117",2012-08-18,"613","Saturday",2012,TRUE
"118",2012-08-19,"6062","Sunday",2012,TRUE
"119",2012-08-20,"5131","Monday",2012,FALSE
"120",2012-08-21,"7789","Tuesday",2012,FALSE
"121",2012-08-22,"9609","Wednesday",2012,FALSE
"122",2012-08-23,"5780","Thursday",2012,FALSE
"123",2012-08-24,"6708","Friday",2012,FALSE
"124",2012-08-25,"9198","Saturday",2012,TRUE
"125",2012-08-26,"4391","Sunday",2012,TRUE
"126",2012-08-27,"6610","Monday",2012,FALSE
"127",2012-08-28,"7389","Tuesday",2012,FALSE
"128",2012-08-29,"4958","Wednesday",2012,FALSE
"129",2012-08-30,"3942","Thursday",2012,FALSE
"130",2012-08-31,"0","Friday",2012,FALSE
"131",2012-09-01,"0","Saturday",2012,TRUE
"132",2012-09-02,"3264","Sunday",2012,TRUE
"133",2012-09-03,"4198","Monday",2012,FALSE
"134",2012-09-04,"394","Tuesday",2012,FALSE
"135",2012-09-05,"4","Wednesday",2012,FALSE
"136",2012-09-06,"0","Thursday",2012,FALSE
"137",2012-09-07,"0","Friday",2012,FALSE
"138",2012-09-08,"0","Saturday",2012,TRUE
"139",2012-09-09,"0","Sunday",2012,TRUE
"140",2012-09-10,"0","Monday",2012,FALSE
"141",2012-09-11,"0","Tuesday",2012,FALSE
"142",2012-09-12,"1668","Wednesday",2012,FALSE
"143",2012-09-13,"3378","Thursday",2012,FALSE
"144",2012-09-14,"3785","Friday",2012,FALSE
"145",2012-09-15,"12196","Saturday",2012,TRUE
"146",2012-09-16,"3622","Sunday",2012,TRUE
"147",2012-09-17,"8330","Monday",2012,FALSE
"148",2012-09-18,"7172","Tuesday",2012,FALSE
"149",2012-09-19,"7225","Wednesday",2012,FALSE
"150",2012-09-20,"4192","Thursday",2012,FALSE
"151",2012-09-21,"2460","Friday",2012,FALSE
"152",2012-09-22,"6229","Saturday",2012,TRUE
"153",2012-09-23,"4794","Sunday",2012,TRUE
"154",2012-09-24,"5464","Monday",2012,FALSE
"155",2012-09-25,"4115","Tuesday",2012,FALSE
"156",2012-09-26,"5253","Wednesday",2012,FALSE
"157",2012-09-27,"2958","Thursday",2012,FALSE
"158",2012-09-28,"5532","Friday",2012,FALSE
"159",2012-09-29,"9690","Saturday",2012,TRUE
"160",2012-09-30,"3432","Sunday",2012,TRUE
"161",2012-10-01,"9230","Monday",2012,FALSE
"162",2012-10-02,"7889","Tuesday",2012,FALSE
"163",2012-10-03,"4659","Wednesday",2012,FALSE
"164",2012-10-04,"9165","Thursday",2012,FALSE
"165",2012-10-05,"7429","Friday",2012,FALSE
"166",2012-10-06,"8160","Saturday",2012,TRUE
"167",2012-10-07,"4700","Sunday",2012,TRUE
"168",2012-10-08,"3537","Monday",2012,FALSE
"169",2012-10-09,"7316","Tuesday",2012,FALSE
"170",2012-10-10,"5429","Wednesday",2012,FALSE
"171",2012-10-11,"5848","Thursday",2012,FALSE
"172",2012-10-12,"1535","Friday",2012,FALSE
"173",2012-10-13,"7599","Saturday",2012,TRUE
"174",2012-10-14,"4142","Sunday",2012,TRUE
"175",2012-10-15,"3967","Monday",2012,FALSE
"176",2012-10-16,"5575","Tuesday",2012,FALSE
"177",2012-10-17,"4415","Wednesday",2012,FALSE
"178",2012-10-18,"3451","Thursday",2012,FALSE
"179",2012-10-19,"4827","Friday",2012,FALSE
"180",2012-10-20,"1216","Saturday",2012,TRUE
"181",2012-10-21,"1349","Sunday",2012,TRUE
"182",2012-10-22,"4118","Monday",2012,FALSE
